Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,WaypointID,BlueOrRed,WaypointName,WaypointPositionX,WaypointPositionY,UserPositionX,UserPositionY,AbsoluteWaypointError,TimeOfCrossingTheWaypoint,CurrentVelocityMagnitude,TeleportingOrHighSpeedTranslational,TeleportingOrNotRotational,TimeFromLastWaypoint,DistanceFromLastWaypoint,DistanceTravelledFromLastWaypoint,NoOfJumpsBetweenWayPoints,AverageJumpDistance,TimeSpentInHighSpeed,PercentofTimeSpentInHighSpeed,AverageVelocityNoJumpORHighSpeed,AverageVelocityIncludingJumpORHighSpeed,TotalDistancePowerMode,PercentofTravelasPowerDistance,TotalJumpAnglefromLastWaypoint,averageTravelLookAngleDifference
P01,2021-03-11 11:13:05 AM,26.72729,Nojump,Controller,Controller,1,A,1__2,0,red,Cube (UnityEngine.GameObject),-226.0377,21.65,-226.0353,21.65834,0.008682863,26.70732,4.499335,NormalSpeed,Continuous,4.567839,14.92434,257.1458,0,0,0.02,0.4378438,0.5774417,7.054613,242.1282,94.15989,0,13.55792
P01,2021-03-11 11:13:32 AM,53.10978,Nojump,Controller,Controller,1,A,2__3,0,red,Cube (4) (UnityEngine.GameObject),-220.77,21.65,-220.754,21.64691,0.00546221,53.0897,4.929237,NormalSpeed,Continuous,2.284332,4.741666,5.408023,0,0,0,0,0.2050801,0.2050801,0,0,0,5.137415
P01,2021-03-11 11:14:03 AM,83.86336,Nojump,Controller,Controller,1,A,3__4,0,red,Cube (5) (UnityEngine.GameObject),-216.38,21.65,-216.328,21.82799,0.1768863,83.84319,4.961225,NormalSpeed,Continuous,1.812019,3.174283,4.435129,0,0,0,0,0.1442674,0.1442674,0,0,0,3.7828
P01,2021-03-11 11:14:39 AM,120.478,Nojump,Controller,Controller,1,A,4__5,0,red,Cube (6) (UnityEngine.GameObject),-211.87,21.65,-211.8147,22.27487,0.6205425,120.4439,4.920801,NormalSpeed,Continuous,1.866371,3.708693,4.53562,0,0,0,0,0.1239616,0.1239616,0,0,0,2.97875
