Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,TotalPointing,PointingCounterFromLocation,Trivial,TargetID,Controller Position X,Controller Position Y,Controller Position Z,Target Position X,Target Position Y,Target Position Z,Target Yaw,Target Pitch, Pointing Yaw, Pointing Pitch,Signed Pointing Error Yaw, Signed Pointing Error Pitch,Absolute Pointing Error Yaw, Absolute Pointing Error Pitch,Pointing Time,Correct distance in 3D,Distance Estimate,Signed Distance Estimate Error,Absolute Distance Estimate Error
P01,2021-03-11 9:39:40 AM,16.15989,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3548,10.83343,24.38578,-7.804039,6.22,-15.4706,350.2747,-1.120179,45.89241,27.27835,55.61774,-28.39853,55.61774,28.39853,0.0272679,235.9866,0.03999693,235.9466,235.9466
P01,2021-03-11 9:39:40 AM,16.17358,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.354,10.83303,24.3856,-7.804039,6.22,-15.4706,350.2747,-1.120085,45.63206,27.1291,55.35736,-28.24919,55.35736,28.24919,0.0458427,235.9858,0.03999944,235.9458,235.9458
P01,2021-03-11 9:39:40 AM,16.19216,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3536,10.83258,24.38562,-7.804039,6.22,-15.4706,350.2747,-1.119977,45.5047,26.94328,55.23001,-28.06326,55.23001,28.06326,0.0553521,235.9854,0.03999555,235.9454,235.9454
P01,2021-03-11 9:39:40 AM,16.20167,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.353,10.8319,24.38568,-7.804039,6.22,-15.4706,350.2746,-1.119814,45.34434,26.66965,55.0697,-27.78946,55.0697,27.78946,0.068582,235.9847,0.03999848,235.9447,235.9447
P01,2021-03-11 9:39:40 AM,16.2149,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3521,10.83069,24.38597,-7.804039,6.22,-15.4706,350.2745,-1.119526,45.16264,26.15467,54.88812,-27.2742,54.88812,27.2742,0.0824598,235.9839,0.04000196,235.9439,235.9439
P01,2021-03-11 9:39:40 AM,16.22877,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3512,10.82948,24.38607,-7.804039,6.22,-15.4706,350.2745,-1.119234,44.88754,25.64613,54.61307,-26.76537,54.61307,26.76537,0.0967643,235.9831,0.04000061,235.9431,235.9431
P01,2021-03-11 9:39:40 AM,16.24308,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3504,10.82819,24.38631,-7.804039,6.22,-15.4706,350.2744,-1.118925,44.74511,25.13105,54.47073,-26.24998,54.47073,26.24998,0.1108252,235.9823,0.03999785,235.9423,235.9423
P01,2021-03-11 9:39:40 AM,16.25714,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3496,10.82692,24.38637,-7.804039,6.22,-15.4706,350.2743,-1.118622,44.53542,24.62593,54.26111,-25.74455,54.26111,25.74455,0.1245163,235.9815,0.0399975,235.9415,235.9415
P01,2021-03-11 9:39:40 AM,16.27083,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3489,10.82592,24.38626,-7.804039,6.22,-15.4706,350.2743,-1.118382,44.30465,24.21879,54.03033,-25.33718,54.03033,25.33718,0.1383477,235.9807,0.03999507,235.9407,235.9407
P01,2021-03-11 9:39:40 AM,16.28466,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3481,10.82465,24.38628,-7.804039,6.22,-15.4706,350.2743,-1.118078,44.15959,23.65643,53.88528,-24.77451,53.88528,24.77451,0.1521628,235.9799,0.03999738,235.9399,235.9399
P01,2021-03-11 9:39:40 AM,16.29848,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.3475,10.82362,24.38643,-7.804039,6.22,-15.4706,350.2742,-1.117829,44.15667,23.1742,53.88245,-24.29203,53.88245,24.29203,0.1662474,235.9793,0.03999335,235.9393,235.9393
