Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,WaypointID,BlueOrRed,WaypointName,WaypointPositionX,WaypointPositionY,UserPositionX,UserPositionY,AbsoluteWaypointError,TimeOfCrossingTheWaypoint,CurrentVelocityMagnitude,TeleportingOrHighSpeedTranslational,TeleportingOrNotRotational,TimeFromLastWaypoint,DistanceFromLastWaypoint,DistanceTravelledFromLastWaypoint,NoOfJumpsBetweenWayPoints,AverageJumpDistance,TimeSpentInHighSpeed,PercentofTimeSpentInHighSpeed,AverageVelocityNoJumpORHighSpeed,AverageVelocityIncludingJumpORHighSpeed,TotalDistancePowerMode,PercentofTravelasPowerDistance,TotalJumpAnglefromLastWaypoint,averageTravelLookAngleDifference
P01,2021-03-11 9:39:52 AM,28.29226,,,Controller,1,A,1__2,0,red,Cube (UnityEngine.GameObject),-226.0377,21.65,-225.9868,22.23617,0.5883718,28.27229,4.860005,NormalSpeed,Continuous,5.015486,14.92434,257.6672,0,0,0.02,0.398765,0.305798,6.697617,242.1282,93.96935,0,7.14795
P01,2021-03-11 9:40:18 AM,54.18746,,,Controller,1,A,2__3,0,red,Cube (4) (UnityEngine.GameObject),-220.77,21.65,-220.7161,21.36748,0.2876243,54.16746,4.644832,NormalSpeed,Continuous,2.050575,3.369577,5.618929,0,0,0,0,0.1290852,0.1290852,0,0,0,4.868308
P01,2021-03-11 9:40:48 AM,83.92414,,,Controller,1,A,3__4,0,red,Cube (5) (UnityEngine.GameObject),-216.38,21.65,-216.265,20.95226,0.6661407,83.87613,4.794198,NormalSpeed,Continuous,1.617821,3.371071,4.657359,0,0,0,0,0.08971798,0.08971798,0,0,0,2.72474
P01,2021-03-11 9:41:23 AM,119.2355,,,Controller,1,A,4__5,0,red,Cube (6) (UnityEngine.GameObject),-211.87,21.65,-211.8475,21.58925,0.04921504,119.2155,4.203552,NormalSpeed,Continuous,2.404266,4.056068,4.58682,0,0,0,0,0.07192194,0.07192194,0,0,0,2.87058
