Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,TotalPointing,PointingCounterFromLocation,Trivial,TargetID,Controller Position X,Controller Position Y,Controller Position Z,Target Position X,Target Position Y,Target Position Z,Target Yaw,Target Pitch, Pointing Yaw, Pointing Pitch,Signed Pointing Error Yaw, Signed Pointing Error Pitch,Absolute Pointing Error Yaw, Absolute Pointing Error Pitch,Pointing Time,Correct distance in 3D,Distance Estimate,Signed Distance Estimate Error,Absolute Distance Estimate Error
P01,2021-03-11 12:03:50 PM,16.87661,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.448,10.65172,24.55924,-7.804039,6.22,-15.4706,350.237,-1.075515,64.67886,10.14061,74.44186,-11.21612,74.44186,11.21612,0.2645236,236.1043,0.0399917,236.0643,236.0643
P01,2021-03-11 12:03:50 PM,16.89016,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4485,10.65304,24.5578,-7.804039,6.22,-15.4706,350.2374,-1.075833,64.54198,10.60544,74.30463,-11.68128,74.30463,11.68128,0.2832937,236.1046,0.03999192,236.0646,236.0646
P01,2021-03-11 12:03:50 PM,16.90893,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4489,10.65373,24.5573,-7.804039,6.22,-15.4706,350.2375,-1.075999,64.61447,10.82375,74.37695,-11.89975,74.37695,11.89975,0.2927006,236.1049,0.03999065,236.0649,236.0649
P01,2021-03-11 12:03:50 PM,16.91833,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4492,10.65412,24.55672,-7.804039,6.22,-15.4706,350.2377,-1.076095,64.58755,10.89686,74.34988,-11.97296,74.34988,11.97296,0.3065618,236.1051,0.03999138,236.0651,236.0651
P01,2021-03-11 12:03:50 PM,16.93219,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4494,10.65436,24.55613,-7.804039,6.22,-15.4706,350.2378,-1.076152,64.54211,10.90525,74.30429,-11.98141,74.30429,11.98141,0.3206392,236.1052,0.03999179,236.0652,236.0652
P01,2021-03-11 12:03:50 PM,16.94627,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4496,10.65443,24.55573,-7.804039,6.22,-15.4706,350.2379,-1.076167,64.56185,10.83888,74.32394,-11.91505,74.32394,11.91505,0.3348158,236.1054,0.03998856,236.0654,236.0654
P01,2021-03-11 12:03:50 PM,16.96045,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4499,10.65439,24.55506,-7.804039,6.22,-15.4706,350.2381,-1.076158,64.51378,10.6954,74.2757,-11.77155,74.2757,11.77155,0.3559175,236.1055,0.03998477,236.0655,236.0655
P01,2021-03-11 12:03:50 PM,16.98155,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4499,10.65421,24.55494,-7.804039,6.22,-15.4706,350.2381,-1.076114,64.48997,10.58644,74.25183,-11.66256,74.25183,11.66256,0.3658346,236.1054,0.03998255,236.0655,236.0655
P01,2021-03-11 12:03:50 PM,16.99147,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4499,10.65404,24.5548,-7.804039,6.22,-15.4706,350.2382,-1.076073,64.46718,10.46984,74.229,-11.54591,74.229,11.54591,0.3760408,236.1054,0.03998113,236.0654,236.0654
P01,2021-03-11 12:03:50 PM,17.00167,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4499,10.65376,24.55472,-7.804039,6.22,-15.4706,350.2382,-1.076005,64.47894,10.24696,74.24078,-11.32297,74.24078,11.32297,0.3899254,236.1055,0.03997907,236.0655,236.0655
