Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,WaypointID,BlueOrRed,WaypointName,WaypointPositionX,WaypointPositionY,UserPositionX,UserPositionY,AbsoluteWaypointError,TimeOfCrossingTheWaypoint,CurrentVelocityMagnitude,TeleportingOrHighSpeedTranslational,TeleportingOrNotRotational,TimeFromLastWaypoint,DistanceFromLastWaypoint,DistanceTravelledFromLastWaypoint,NoOfJumpsBetweenWayPoints,AverageJumpDistance,TimeSpentInHighSpeed,PercentofTimeSpentInHighSpeed,AverageVelocityNoJumpORHighSpeed,AverageVelocityIncludingJumpORHighSpeed,TotalDistancePowerMode,PercentofTravelasPowerDistance,TotalJumpAnglefromLastWaypoint,averageTravelLookAngleDifference
P01,2021-03-11 11:21:00 AM,24.1794,Nojump,Controller,Controller,1,A,1__2,0,red,Cube (UnityEngine.GameObject),-226.0377,21.65,-225.9252,21.33035,0.3040156,24.13151,4.930132,NormalSpeed,Continuous,4.42388,14.92434,257.2712,0,0,0.02,0.4520918,0.3582566,7.986519,242.1282,94.11398,0,8.573688
P01,2021-03-11 11:21:27 AM,51.04759,Nojump,Controller,Controller,1,A,2__3,0,red,Cube (4) (UnityEngine.GameObject),-220.77,21.65,-220.7483,22.0897,0.4402308,51.02762,4.889843,NormalSpeed,Continuous,2.164299,4.607082,5.356882,0,0,0,0,0.1222384,0.1222384,0,0,0,3.114388
P01,2021-03-11 11:21:58 AM,82.03546,Nojump,Controller,Controller,1,A,3__4,0,red,Cube (5) (UnityEngine.GameObject),-216.38,21.65,-216.3147,22.16705,0.5211371,82.01547,4.874266,NormalSpeed,Continuous,1.680084,3.683713,4.480089,0,0,0,0,0.08132047,0.08132047,0,0,0,2.430464
P01,2021-03-11 11:22:35 AM,119.4043,Nojump,Controller,Controller,1,A,4__5,0,red,Cube (6) (UnityEngine.GameObject),-211.87,21.65,-211.8361,22.76705,1.117564,119.3846,4.640957,NormalSpeed,Continuous,2.094231,4.120157,5.005675,0,0,0,0,0.07269451,0.07269451,0,0,0,1.868945
