Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,WaypointID,BlueOrRed,WaypointName,WaypointPositionX,WaypointPositionY,UserPositionX,UserPositionY,AbsoluteWaypointError,TimeOfCrossingTheWaypoint,CurrentVelocityMagnitude,TeleportingOrHighSpeedTranslational,TeleportingOrNotRotational,TimeFromLastWaypoint,DistanceFromLastWaypoint,DistanceTravelledFromLastWaypoint,NoOfJumpsBetweenWayPoints,AverageJumpDistance,TimeSpentInHighSpeed,PercentofTimeSpentInHighSpeed,AverageVelocityNoJumpORHighSpeed,AverageVelocityIncludingJumpORHighSpeed,TotalDistancePowerMode,PercentofTravelasPowerDistance,TotalJumpAnglefromLastWaypoint,averageTravelLookAngleDifference
P01,2021-03-11 9:31:20 AM,27.278,,,Controller,1,A,1__2,0,red,Cube (UnityEngine.GameObject),-226.0377,21.65,-225.9571,21.5052,0.1112638,27.25798,4.704876,NormalSpeed,Continuous,5.786482,14.92434,259.0716,0,0,0.02,0.3456331,0.36809,7.127466,242.1282,93.45997,0,8.547449
P01,2021-03-11 9:31:46 AM,53.67214,,,Controller,1,A,2__3,0,red,Cube (4) (UnityEngine.GameObject),-220.77,21.65,-220.7682,22.01611,0.3606923,53.65215,4.8954,NormalSpeed,Continuous,2.288116,4.117597,5.433563,0,0,0,0,0.1170743,0.1170743,0,0,0,3.479453
P01,2021-03-11 9:32:48 AM,115.9618,,,Controller,1,A,3__4,0,red,Cube (5) (UnityEngine.GameObject),-216.38,21.65,-216.371,22.66098,1.008886,115.9417,4.95717,NormalSpeed,Continuous,2.900322,3.394252,4.645486,0,0,0,0,0.03891292,0.03891292,0,0,0,1.095067
