Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,TotalPointing,PointingCounterFromLocation,Trivial,TargetID,Controller Position X,Controller Position Y,Controller Position Z,Target Position X,Target Position Y,Target Position Z,Target Yaw,Target Pitch, Pointing Yaw, Pointing Pitch,Signed Pointing Error Yaw, Signed Pointing Error Pitch,Absolute Pointing Error Yaw, Absolute Pointing Error Pitch,Pointing Time,Correct distance in 3D,Distance Estimate,Signed Distance Estimate Error,Absolute Distance Estimate Error
P01,2021-03-11 11:12:51 AM,12.4142,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6386,10.69479,24.47345,-7.804039,6.22,-15.4706,350.2654,-1.085168,92.22943,-3.904281,101.9641,2.819113,101.9641,2.819113,0.0139593,236.2784,0.04000264,236.2384,236.2384
P01,2021-03-11 11:12:51 AM,12.42816,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6388,10.69469,24.47343,-7.804039,6.22,-15.4706,350.2654,-1.085143,92.29832,-3.892088,102.0329,2.806945,102.0329,2.806945,0.0279259,236.2786,0.04000198,236.2386,236.2386
P01,2021-03-11 11:12:51 AM,12.44212,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6391,10.6945,24.47338,-7.804039,6.22,-15.4706,350.2654,-1.085095,92.44801,-3.931947,102.1826,2.846851,102.1826,2.846851,0.0418892,236.2789,0.04000262,236.2389,236.2389
P01,2021-03-11 11:12:51 AM,12.45609,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6395,10.69418,24.4733,-7.804039,6.22,-15.4706,350.2654,-1.085016,92.61459,-4.049769,102.3492,2.964754,102.3492,2.964754,0.0559634,236.2793,0.04000237,236.2393,236.2393
P01,2021-03-11 11:12:51 AM,12.47016,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6399,10.69372,24.47324,-7.804039,6.22,-15.4706,350.2655,-1.084904,92.73756,-4.259011,102.4721,3.174108,102.4721,3.174108,0.0697679,236.2796,0.04000207,236.2396,236.2396
P01,2021-03-11 11:12:51 AM,12.48397,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.64,10.69318,24.47316,-7.804039,6.22,-15.4706,350.2655,-1.084772,92.73971,-4.503406,102.4742,3.418634,102.4742,3.418634,0.0840881,236.2797,0.04000174,236.2397,236.2397
P01,2021-03-11 11:12:51 AM,12.49829,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6399,10.69275,24.47306,-7.804039,6.22,-15.4706,350.2655,-1.084668,92.63504,-4.667716,102.3695,3.583048,102.3695,3.583048,0.09763891,236.2796,0.04000157,236.2396,236.2396
P01,2021-03-11 11:12:51 AM,12.51184,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6398,10.6924,24.47298,-7.804039,6.22,-15.4706,350.2655,-1.084583,92.53328,-4.785078,102.2678,3.700494,102.2678,3.700494,0.1115586,236.2794,0.04000105,236.2394,236.2394
P01,2021-03-11 11:12:51 AM,12.52576,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6398,10.69215,24.47292,-7.804039,6.22,-15.4706,350.2655,-1.084524,92.5166,-4.864269,102.2511,3.779745,102.2511,3.779745,0.1256772,236.2794,0.04000122,236.2394,236.2394
P01,2021-03-11 11:12:51 AM,12.53988,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6399,10.69194,24.47285,-7.804039,6.22,-15.4706,350.2656,-1.084471,92.57784,-4.953578,102.3123,3.869106,102.3123,3.869106,0.1393055,236.2795,0.04000099,236.2395,236.2395
P01,2021-03-11 11:12:51 AM,12.5535,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6403,10.69164,24.4729,-7.804039,6.22,-15.4706,350.2656,-1.084399,92.77357,-5.11875,102.508,4.034351,102.508,4.034351,0.1532432,236.28,0.0555204,236.2244,236.2244
P01,2021-03-11 11:12:51 AM,12.56744,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6404,10.69156,24.47287,-7.804039,6.22,-15.4706,350.2656,-1.084379,92.85951,-5.182355,102.5939,4.097976,102.5939,4.097976,0.1672889,236.28,0.1298114,236.1502,236.1502
P01,2021-03-11 11:12:51 AM,12.58149,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6404,10.69174,24.47288,-7.804039,6.22,-15.4706,350.2656,-1.084421,92.88132,-5.106385,102.6158,4.021964,102.6158,4.021964,0.1812764,236.28,0.2610846,236.019,236.019
P01,2021-03-11 11:12:51 AM,12.59548,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6403,10.69195,24.47291,-7.804039,6.22,-15.4706,350.2656,-1.084473,92.87801,-5.006999,102.6124,3.922527,102.6124,3.922527,0.1950526,236.28,0.4341405,235.8458,235.8458
P01,2021-03-11 11:12:51 AM,12.60925,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6402,10.69204,24.473,-7.804039,6.22,-15.4706,350.2655,-1.084494,92.86489,-4.970758,102.5994,3.886265,102.5994,3.886265,0.2090773,236.2799,0.6350188,235.6449,235.6449
P01,2021-03-11 11:12:51 AM,12.62328,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6401,10.69204,24.47313,-7.804039,6.22,-15.4706,350.2655,-1.084496,92.81789,-4.953906,102.5524,3.86941,102.5524,3.86941,0.223169,236.2798,0.8536704,235.4261,235.4261
P01,2021-03-11 11:12:51 AM,12.63737,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6399,10.69203,24.47324,-7.804039,6.22,-15.4706,350.2655,-1.084493,92.76123,-4.948577,102.4958,3.864084,102.4958,3.864084,0.2367211,236.2796,1.08349,235.1961,235.1961
P01,2021-03-11 11:12:51 AM,12.65092,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6397,10.69205,24.47334,-7.804039,6.22,-15.4706,350.2654,-1.084499,92.68307,-4.949879,102.4176,3.86538,102.4176,3.86538,0.2508966,236.2794,1.320291,234.9591,234.9591
P01,2021-03-11 11:12:51 AM,12.66509,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6395,10.69217,24.47344,-7.804039,6.22,-15.4706,350.2654,-1.08453,92.61484,-4.904607,102.3495,3.820078,102.3495,3.820078,0.2651112,236.2792,1.561535,234.7177,234.7177
P01,2021-03-11 11:12:51 AM,12.67931,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6393,10.69229,24.47357,-7.804039,6.22,-15.4706,350.2654,-1.08456,92.55885,-4.88426,102.2935,3.7997,102.2935,3.7997,0.2786139,236.279,1.805626,234.4734,234.4734
P01,2021-03-11 11:12:51 AM,12.69281,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6391,10.6924,24.47369,-7.804039,6.22,-15.4706,350.2653,-1.084587,92.49445,-4.882193,102.2291,3.797605,102.2291,3.797605,0.2925467,236.2789,2.05155,234.2273,234.2273
P01,2021-03-11 11:12:51 AM,12.70675,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6388,10.69256,24.4738,-7.804039,6.22,-15.4706,350.2653,-1.084626,92.40036,-4.852436,102.1351,3.76781,102.1351,3.76781,0.3064193,236.2786,2.29863,233.98,233.98
P01,2021-03-11 11:12:51 AM,12.72062,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6385,10.69269,24.47387,-7.804039,6.22,-15.4706,350.2653,-1.084661,92.29556,-4.820313,102.0303,3.735652,102.0303,3.735652,0.3203252,236.2784,2.54643,233.7319,233.7319
P01,2021-03-11 11:12:51 AM,12.73452,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.6382,10.69278,24.47397,-7.804039,6.22,-15.4706,350.2652,-1.084683,92.18752,-4.798976,101.9223,3.714293,101.9223,3.714293,0.3342922,236.2781,2.794713,233.4834,233.4834
