Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,TotalPointing,PointingCounterFromLocation,Trivial,TargetID,Controller Position X,Controller Position Y,Controller Position Z,Target Position X,Target Position Y,Target Position Z,Target Yaw,Target Pitch, Pointing Yaw, Pointing Pitch,Signed Pointing Error Yaw, Signed Pointing Error Pitch,Absolute Pointing Error Yaw, Absolute Pointing Error Pitch,Pointing Time,Correct distance in 3D,Distance Estimate,Signed Distance Estimate Error,Absolute Distance Estimate Error
P01,2021-03-11 11:20:51 AM,15.39857,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4425,10.63831,24.27507,-7.804039,6.22,-15.4706,350.3048,-1.072504,63.66565,6.695452,73.36087,-7.767956,73.36087,7.767956,0.0270449,236.0506,0.04000272,236.0106,236.0106
P01,2021-03-11 11:20:51 AM,15.41259,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4421,10.63838,24.27523,-7.804039,6.22,-15.4706,350.3047,-1.072523,63.55474,6.753729,73.25003,-7.826252,73.25003,7.826252,0.0488476,236.0503,0.04000042,236.0103,236.0103
P01,2021-03-11 11:20:51 AM,15.43439,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4417,10.63843,24.2749,-7.804039,6.22,-15.4706,350.3048,-1.072538,63.26588,6.737254,72.96109,-7.809792,72.96109,7.809792,0.0555849,236.0498,0.04000252,236.0098,236.0098
P01,2021-03-11 11:20:51 AM,15.44113,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4415,10.63857,24.27483,-7.804039,6.22,-15.4706,350.3048,-1.072573,63.19938,6.81904,72.89459,-7.891613,72.89459,7.891613,0.0679132,236.0496,0.03999914,236.0096,236.0096
P01,2021-03-11 11:20:51 AM,15.45346,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4414,10.63873,24.27482,-7.804039,6.22,-15.4706,350.3048,-1.072611,63.103,6.876669,72.79822,-7.949281,72.79822,7.949281,0.0817617,236.0495,0.04000086,236.0095,236.0095
P01,2021-03-11 11:20:51 AM,15.4673,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4413,10.63873,24.2749,-7.804039,6.22,-15.4706,350.3048,-1.072613,63.09145,6.860175,72.78668,-7.932788,72.78668,7.932788,0.0960883,236.0495,0.04000466,236.0094,236.0094
P01,2021-03-11 11:20:51 AM,15.48163,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4414,10.63858,24.27509,-7.804039,6.22,-15.4706,350.3047,-1.072574,63.1518,6.776197,72.84708,-7.848771,72.84708,7.848771,0.1101583,236.0495,0.040006,236.0095,236.0095
P01,2021-03-11 11:20:51 AM,15.4957,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4416,10.63836,24.27522,-7.804039,6.22,-15.4706,350.3047,-1.072521,63.20527,6.691567,72.90057,-7.764089,72.90057,7.764089,0.124265,236.0497,0.04000567,236.0097,236.0097
P01,2021-03-11 11:20:51 AM,15.50981,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4417,10.6382,24.27528,-7.804039,6.22,-15.4706,350.3047,-1.07248,63.22758,6.622017,72.92291,-7.694497,72.92291,7.694497,0.1381933,236.0498,0.04000335,236.0098,236.0098
P01,2021-03-11 11:20:51 AM,15.52374,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4417,10.63802,24.27532,-7.804039,6.22,-15.4706,350.3047,-1.072436,63.24057,6.544986,72.93588,-7.617423,72.93588,7.617423,0.1526231,236.0499,0.04000568,236.0099,236.0099
P01,2021-03-11 11:20:51 AM,15.53817,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4417,10.63777,24.27532,-7.804039,6.22,-15.4706,350.3047,-1.072377,63.21069,6.451949,72.90601,-7.524326,72.90601,7.524326,0.1660045,236.0499,0.04000347,236.0099,236.0099
P01,2021-03-11 11:20:51 AM,15.55155,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4419,10.63752,24.27542,-7.804039,6.22,-15.4706,350.3047,-1.072316,63.2692,6.309904,72.96454,-7.38222,72.96454,7.38222,0.1800347,236.05,0.04000428,236.01,236.01
P01,2021-03-11 11:20:51 AM,15.56558,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4421,10.63732,24.27548,-7.804039,6.22,-15.4706,350.3047,-1.072266,63.34734,6.215551,73.04269,-7.287817,73.04269,7.287817,0.1944124,236.0503,0.04000376,236.0103,236.0103
P01,2021-03-11 11:20:51 AM,15.57996,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4424,10.63713,24.27558,-7.804039,6.22,-15.4706,350.3047,-1.072218,63.49576,6.058766,73.1911,-7.130984,73.1911,7.130984,0.2079466,236.0506,0.04000229,236.0106,236.0106
P01,2021-03-11 11:20:51 AM,15.59349,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4427,10.63707,24.27553,-7.804039,6.22,-15.4706,350.3047,-1.072201,63.6095,6.011971,73.30481,-7.084173,73.30481,7.084173,0.2219835,236.0509,0.03999908,236.0109,236.0109
P01,2021-03-11 11:20:51 AM,15.60753,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4433,10.63696,24.27553,-7.804039,6.22,-15.4706,350.3047,-1.072173,63.82816,5.945903,73.52347,-7.018076,73.52347,7.018076,0.235818,236.0515,0.03999681,236.0115,236.0115
P01,2021-03-11 11:20:51 AM,15.62136,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4437,10.63687,24.27544,-7.804039,6.22,-15.4706,350.3047,-1.07215,63.93015,5.881796,73.62543,-6.953946,73.62543,6.953946,0.2499191,236.0518,0.03999785,236.0118,236.0118
P01,2021-03-11 11:20:51 AM,15.63546,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4439,10.6369,24.27529,-7.804039,6.22,-15.4706,350.3048,-1.072155,63.96706,5.869968,73.66229,-6.942122,73.66229,6.942122,0.2639086,236.052,0.04000054,236.012,236.012
P01,2021-03-11 11:20:51 AM,15.64945,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4441,10.63703,24.27497,-7.804039,6.22,-15.4706,350.3049,-1.072188,63.937,5.90588,73.63214,-6.978067,73.63214,6.978067,0.2777599,236.0521,0.03999952,236.0121,236.0121
P01,2021-03-11 11:20:51 AM,15.6633,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4442,10.63718,24.27461,-7.804039,6.22,-15.4706,350.305,-1.072222,63.86494,5.942676,73.55997,-7.014898,73.55997,7.014898,0.2916419,236.0521,0.04000005,236.0121,236.0121
P01,2021-03-11 11:20:51 AM,15.67719,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4442,10.63729,24.27425,-7.804039,6.22,-15.4706,350.3051,-1.07225,63.79627,5.955839,73.49121,-7.02809,73.49121,7.02809,0.3061461,236.0521,0.04000238,236.0121,236.0121
P01,2021-03-11 11:20:51 AM,15.69169,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4443,10.63737,24.27394,-7.804039,6.22,-15.4706,350.3051,-1.07227,63.76312,5.955002,73.45801,-7.027272,73.45801,7.027272,0.3202091,236.0522,0.04000048,236.0122,236.0122
P01,2021-03-11 11:20:51 AM,15.70575,Nojump,Controller,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.4445,10.6374,24.27366,-7.804039,6.22,-15.4706,350.3052,-1.072276,63.77713,5.937149,73.47195,-7.009425,73.47195,7.009425,0.3335833,236.0523,0.03999759,236.0123,236.0123
P01,2021-03-11 11:20:53 AM,17.33421,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4435,10.63809,24.266,-7.804039,6.22,-15.4706,350.307,-1.072455,62.09018,5.30543,71.7832,-6.377885,71.7832,6.377885,0.019659,236.05,0.03999464,236.01,236.01
P01,2021-03-11 11:20:53 AM,17.35386,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4434,10.638,24.26615,-7.804039,6.22,-15.4706,350.3069,-1.072432,62.08328,5.282197,71.77634,-6.354629,71.77634,6.354629,0.0277764,236.05,0.03999314,236.01,236.01
P01,2021-03-11 11:20:53 AM,17.36198,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4433,10.63779,24.26654,-7.804039,6.22,-15.4706,350.3069,-1.072382,62.11169,5.234976,71.80484,-6.307358,71.80484,6.307358,0.0408927,236.0499,0.03999314,236.0099,236.0099
P01,2021-03-11 11:20:53 AM,17.3751,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4431,10.63765,24.26686,-7.804039,6.22,-15.4706,350.3068,-1.072347,62.10163,5.201954,71.79486,-6.274302,71.79486,6.274302,0.0552365,236.0498,0.03998937,236.0098,236.0098
P01,2021-03-11 11:20:53 AM,17.38944,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4429,10.63757,24.26711,-7.804039,6.22,-15.4706,350.3067,-1.07233,62.08959,5.192362,71.7829,-6.264691,71.7829,6.264691,0.0689963,236.0497,0.03999252,236.0097,236.0097
P01,2021-03-11 11:20:53 AM,17.4032,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4427,10.63747,24.26742,-7.804039,6.22,-15.4706,350.3066,-1.072306,62.07299,5.184517,71.76639,-6.256823,71.76639,6.256823,0.08284269,236.0495,0.03999408,236.0095,236.0095
P01,2021-03-11 11:20:53 AM,17.41705,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4425,10.63736,24.26769,-7.804039,6.22,-15.4706,350.3065,-1.07228,62.05199,5.158417,71.74545,-6.230697,71.74545,6.230697,0.09665019,236.0493,0.03999453,236.0094,236.0094
P01,2021-03-11 11:20:53 AM,17.43086,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4423,10.63725,24.26792,-7.804039,6.22,-15.4706,350.3065,-1.072254,62.03628,5.124284,71.7298,-6.196538,71.7298,6.196538,0.1107391,236.0492,0.03999615,236.0092,236.0092
P01,2021-03-11 11:20:53 AM,17.44495,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4422,10.63714,24.26818,-7.804039,6.22,-15.4706,350.3064,-1.072227,62.02327,5.088964,71.71686,-6.161191,71.71686,6.161191,0.1245971,236.0491,0.0399994,236.0091,236.0091
P01,2021-03-11 11:20:53 AM,17.45881,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.442,10.63704,24.26844,-7.804039,6.22,-15.4706,350.3063,-1.072202,62.01284,5.072333,71.70651,-6.144536,71.70651,6.144536,0.1389368,236.049,0.03999671,236.009,236.009
P01,2021-03-11 11:20:53 AM,17.47314,Nojump,Controller,Controller,1,A,1,6,2,yes,dumpster (UnityEngine.AudioClip),-240.4419,10.63692,24.26868,-7.804039,6.22,-15.4706,350.3063,-1.072175,62.01047,5.046494,71.70419,-6.118669,71.70419,6.118669,0.1526253,236.0489,0.03999511,236.0089,236.0089
P01,2021-03-11 11:21:17 AM,41.13897,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0716,10.64973,21.54211,-7.804039,6.22,-15.4706,350.3322,-1.151423,62.90067,8.540509,72.56851,-9.691932,72.56851,9.691932,0.0214754,220.4421,0.04000193,220.4021,220.4021
P01,2021-03-11 11:21:17 AM,41.16045,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0717,10.64988,21.54225,-7.804039,6.22,-15.4706,350.3321,-1.151461,63.04657,8.611146,72.71445,-9.762607,72.71445,9.762607,0.0296925,220.4424,0.04000333,220.4023,220.4023
P01,2021-03-11 11:21:17 AM,41.16866,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.072,10.64998,21.54238,-7.804039,6.22,-15.4706,350.3321,-1.151486,63.2042,8.663976,72.87207,-9.815461,72.87207,9.815461,0.0412037,220.4426,0.03999973,220.4026,220.4026
P01,2021-03-11 11:21:17 AM,41.18018,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.072,10.6501,21.54232,-7.804039,6.22,-15.4706,350.3321,-1.151516,63.22731,8.740638,72.8952,-9.892154,72.8952,9.892154,0.0548499,220.4426,0.04000087,220.4026,220.4026
P01,2021-03-11 11:21:17 AM,41.19382,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0719,10.64985,21.5421,-7.804039,6.22,-15.4706,350.3322,-1.15145,63.14559,8.506251,72.81342,-9.657701,72.81342,9.657701,0.0689482,220.4425,0.04000041,220.4025,220.4025
P01,2021-03-11 11:21:17 AM,41.20792,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0715,10.64973,21.54183,-7.804039,6.22,-15.4706,350.3322,-1.151423,62.88366,8.517494,72.55145,-9.668918,72.55145,9.668918,0.0829123,220.442,0.04000291,220.402,220.402
P01,2021-03-11 11:21:17 AM,41.22189,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0714,10.64935,21.54243,-7.804039,6.22,-15.4706,350.3321,-1.151323,63.0908,8.346178,72.75873,-9.497501,72.75873,9.497501,0.0972931,220.4421,0.04000131,220.4021,220.4021
P01,2021-03-11 11:21:17 AM,41.23627,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.071,10.64859,21.54252,-7.804039,6.22,-15.4706,350.332,-1.15113,62.89827,8.000381,72.56625,-9.15151,72.56625,9.15151,0.1108765,220.4416,0.04000212,220.4016,220.4016
P01,2021-03-11 11:21:17 AM,41.24985,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0708,10.64796,21.54281,-7.804039,6.22,-15.4706,350.3319,-1.150966,62.90863,7.739183,72.57669,-8.890149,72.57669,8.890149,0.1246379,220.4415,0.03999931,220.4015,220.4015
P01,2021-03-11 11:21:17 AM,41.26361,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0707,10.64697,21.54339,-7.804039,6.22,-15.4706,350.3318,-1.150709,62.96318,7.347816,72.63141,-8.498526,72.63141,8.498526,0.1448503,220.4415,0.04000065,220.4015,220.4015
P01,2021-03-11 11:21:17 AM,41.28382,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0709,10.64641,21.5439,-7.804039,6.22,-15.4706,350.3317,-1.150561,63.15446,7.107602,72.82278,-8.258162,72.82278,8.258162,0.1526827,220.4417,0.04000092,220.4017,220.4017
P01,2021-03-11 11:21:17 AM,41.29166,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.071,10.64588,21.54433,-7.804039,6.22,-15.4706,350.3316,-1.150422,63.2757,6.89314,72.94412,-8.043562,72.94412,8.043562,0.1662164,220.4419,0.0400028,220.4019,220.4019
P01,2021-03-11 11:21:17 AM,41.30519,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.071,10.64536,21.54482,-7.804039,6.22,-15.4706,350.3315,-1.150287,63.334,6.723119,73.00256,-7.873406,73.00256,7.873406,0.1801413,220.442,0.04000223,220.402,220.402
P01,2021-03-11 11:21:17 AM,41.31911,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0709,10.64507,21.54525,-7.804039,6.22,-15.4706,350.3313,-1.150211,63.32582,6.662669,72.99451,-7.812881,72.99451,7.812881,0.1940931,220.4419,0.03999904,220.4019,220.4019
P01,2021-03-11 11:21:17 AM,41.33307,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0704,10.64507,21.54555,-7.804039,6.22,-15.4706,350.3312,-1.150215,63.15722,6.759956,72.82599,-7.910171,72.82599,7.910171,0.2080938,220.4415,0.04000229,220.4014,220.4014
P01,2021-03-11 11:21:17 AM,41.34706,Nojump,Controller,Controller,1,A,2,11,1,no,bench (UnityEngine.AudioClip),-225.0699,10.64513,21.54567,-7.804039,6.22,-15.4706,350.3312,-1.150233,62.99066,6.864523,72.65948,-8.014756,72.65948,8.014756,0.2225372,220.441,0.03999972,220.401,220.401
