Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,TotalPointing,PointingCounterFromLocation,Trivial,TargetID,Controller Position X,Controller Position Y,Controller Position Z,Target Position X,Target Position Y,Target Position Z,Target Yaw,Target Pitch, Pointing Yaw, Pointing Pitch,Signed Pointing Error Yaw, Signed Pointing Error Pitch,Absolute Pointing Error Yaw, Absolute Pointing Error Pitch,Pointing Time,Correct distance in 3D,Distance Estimate,Signed Distance Estimate Error,Absolute Distance Estimate Error
P01,2021-03-11 9:23:13 AM,14.62112,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5402,10.78511,24.56551,-7.804039,6.22,-15.4706,350.2393,-1.107449,75.35271,3.740389,85.1134,-4.847838,85.1134,4.847838,0.01185,236.1987,0.04000283,236.1587,236.1587
P01,2021-03-11 9:23:13 AM,14.63297,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5399,10.78532,24.56541,-7.804039,6.22,-15.4706,350.2393,-1.107501,75.20376,3.970286,84.96445,-5.077787,84.96445,5.077787,0.0256388,236.1984,0.04000188,236.1584,236.1584
P01,2021-03-11 9:23:13 AM,14.64676,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5397,10.78564,24.56531,-7.804039,6.22,-15.4706,350.2393,-1.107579,75.11895,4.206496,84.87964,-5.314075,84.87964,5.314075,0.039624,236.1982,0.04000351,236.1582,236.1582
P01,2021-03-11 9:23:13 AM,14.66074,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5397,10.78596,24.56521,-7.804039,6.22,-15.4706,350.2393,-1.107657,75.10364,4.387014,84.86429,-5.494671,84.86429,5.494671,0.0533506,236.1982,0.04000584,236.1582,236.1582
P01,2021-03-11 9:23:13 AM,14.67447,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5398,10.78625,24.56515,-7.804039,6.22,-15.4706,350.2394,-1.107728,75.14846,4.54436,84.90909,-5.652087,84.90909,5.652087,0.06726599,236.1984,0.04000657,236.1584,236.1584
P01,2021-03-11 9:23:13 AM,14.68838,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.54,10.78649,24.56506,-7.804039,6.22,-15.4706,350.2394,-1.107784,75.17892,4.655001,84.93951,-5.762784,84.93951,5.762784,0.0815706,236.1985,0.04000888,236.1585,236.1585
P01,2021-03-11 9:23:13 AM,14.70269,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.54,10.78649,24.56503,-7.804039,6.22,-15.4706,350.2394,-1.107784,75.17799,4.636523,84.9386,-5.744308,84.9386,5.744308,0.09505589,236.1985,0.04000787,236.1585,236.1585
P01,2021-03-11 9:23:13 AM,14.71617,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.54,10.78641,24.56502,-7.804039,6.22,-15.4706,350.2394,-1.107765,75.14891,4.581202,84.90948,-5.688967,84.90948,5.688967,0.1090273,236.1985,0.04000686,236.1585,236.1585
P01,2021-03-11 9:23:13 AM,14.73014,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.54,10.78637,24.56499,-7.804039,6.22,-15.4706,350.2394,-1.107754,75.11992,4.544546,84.88049,-5.6523,84.88049,5.6523,0.1229768,236.1985,0.04000505,236.1585,236.1585
P01,2021-03-11 9:23:13 AM,14.74409,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.54,10.78636,24.56502,-7.804039,6.22,-15.4706,350.2394,-1.107754,75.1261,4.534637,84.88669,-5.64239,84.88669,5.64239,0.1371637,236.1985,0.04000635,236.1585,236.1585
P01,2021-03-11 9:23:13 AM,14.75828,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.54,10.78625,24.56507,-7.804039,6.22,-15.4706,350.2394,-1.107726,75.1394,4.473782,84.89999,-5.581508,84.89999,5.581508,0.150945,236.1985,0.04000466,236.1585,236.1585
P01,2021-03-11 9:23:13 AM,14.77206,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5401,10.78604,24.56513,-7.804039,6.22,-15.4706,350.2394,-1.107675,75.16509,4.374897,84.92572,-5.482572,84.92572,5.482572,0.1650045,236.1986,0.04000464,236.1586,236.1586
P01,2021-03-11 9:23:13 AM,14.78612,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5401,10.78581,24.56524,-7.804039,6.22,-15.4706,350.2394,-1.107618,75.25565,4.240969,85.01627,-5.348587,85.01627,5.348587,0.1787091,236.1987,0.04000412,236.1587,236.1587
P01,2021-03-11 9:23:13 AM,14.79982,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5401,10.78567,24.56524,-7.804039,6.22,-15.4706,350.2394,-1.107585,75.24475,4.167454,85.00537,-5.27504,85.00537,5.27504,0.1926464,236.1986,0.04000605,236.1586,236.1586
P01,2021-03-11 9:23:13 AM,14.81376,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5399,10.78547,24.56524,-7.804039,6.22,-15.4706,350.2393,-1.107537,75.19505,4.086883,84.95569,-5.19442,84.95569,5.19442,0.2065653,236.1985,0.04000425,236.1584,236.1584
P01,2021-03-11 9:23:13 AM,14.82768,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5398,10.78529,24.56525,-7.804039,6.22,-15.4706,350.2393,-1.107493,75.13187,4.008147,84.89252,-5.11564,84.89252,5.11564,0.2205105,236.1983,0.04000469,236.1583,236.1583
P01,2021-03-11 9:23:13 AM,14.84163,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5396,10.78517,24.56528,-7.804039,6.22,-15.4706,350.2393,-1.107465,75.06376,3.988998,84.8244,-5.096463,84.8244,5.096463,0.2348924,236.1981,0.04000448,236.1581,236.1581
P01,2021-03-11 9:23:13 AM,14.85601,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5394,10.78502,24.56536,-7.804039,6.22,-15.4706,350.2393,-1.107429,75.02426,3.956103,84.78494,-5.063531,84.78494,5.063531,0.2484556,236.198,0.04000525,236.158,236.158
P01,2021-03-11 9:23:13 AM,14.86957,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5393,10.78473,24.56555,-7.804039,6.22,-15.4706,350.2393,-1.10736,75.02444,3.860888,84.78519,-4.968247,84.78519,4.968247,0.2626512,236.1978,0.04000437,236.1578,236.1578
P01,2021-03-11 9:23:13 AM,14.88377,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5392,10.78444,24.56572,-7.804039,6.22,-15.4706,350.2392,-1.107291,75.03652,3.741895,84.79733,-4.849186,84.79733,4.849186,0.2762857,236.1977,0.04000621,236.1577,236.1577
P01,2021-03-11 9:23:13 AM,14.8974,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.539,10.78418,24.56587,-7.804039,6.22,-15.4706,350.2392,-1.107228,75.01532,3.624726,84.77615,-4.731955,84.77615,4.731955,0.2902526,236.1976,0.04000671,236.1576,236.1576
P01,2021-03-11 9:23:13 AM,14.91137,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5388,10.78398,24.56595,-7.804039,6.22,-15.4706,350.2391,-1.10718,74.94838,3.535817,84.70923,-4.642997,84.70923,4.642997,0.3042052,236.1974,0.04000734,236.1574,236.1574
P01,2021-03-11 9:23:13 AM,14.92532,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5385,10.78379,24.56602,-7.804039,6.22,-15.4706,350.2391,-1.107134,74.88359,3.449332,84.64447,-4.556467,84.64447,4.556467,0.3181167,236.1972,0.04000824,236.1572,236.1572
P01,2021-03-11 9:23:13 AM,14.93923,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5383,10.78354,24.56607,-7.804039,6.22,-15.4706,350.2391,-1.107074,74.82133,3.328602,84.58221,-4.435677,84.58221,4.435677,0.3323117,236.1969,0.04000972,236.1569,236.1569
P01,2021-03-11 9:23:13 AM,14.95343,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5382,10.78328,24.56619,-7.804039,6.22,-15.4706,350.2391,-1.107014,74.81898,3.215455,84.5799,-4.322469,84.5799,4.322469,0.3462276,236.1968,0.04000887,236.1568,236.1568
P01,2021-03-11 9:23:13 AM,14.96734,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5381,10.78302,24.56632,-7.804039,6.22,-15.4706,350.239,-1.106951,74.80875,3.09965,84.56973,-4.206601,84.56973,4.206601,0.3599734,236.1967,0.04001024,236.1567,236.1567
P01,2021-03-11 9:23:13 AM,14.98109,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.538,10.78276,24.56644,-7.804039,6.22,-15.4706,350.239,-1.106888,74.81689,2.992559,84.57791,-4.099447,84.57791,4.099447,0.373711,236.1967,0.04001179,236.1566,236.1566
P01,2021-03-11 9:23:13 AM,14.99483,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5379,10.78243,24.56658,-7.804039,6.22,-15.4706,350.239,-1.106807,74.84458,2.844004,84.60562,-3.950811,84.60562,3.950811,0.3880208,236.1966,0.04001167,236.1566,236.1566
P01,2021-03-11 9:23:13 AM,15.00914,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.538,10.78223,24.56667,-7.804039,6.22,-15.4706,350.2389,-1.106758,74.92336,2.781192,84.68445,-3.887949,84.68445,3.887949,0.4016556,236.1967,0.0400141,236.1567,236.1567
P01,2021-03-11 9:23:13 AM,15.02277,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5381,10.7821,24.56676,-7.804039,6.22,-15.4706,350.2389,-1.106728,74.99532,2.746731,84.75641,-3.853459,84.75641,3.853459,0.4158257,236.1968,0.04001391,236.1568,236.1568
P01,2021-03-11 9:23:13 AM,15.03694,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5381,10.78188,24.56682,-7.804039,6.22,-15.4706,350.2389,-1.106674,75.01698,2.661851,84.77808,-3.768525,84.77808,3.768525,0.4296094,236.1968,0.04001267,236.1568,236.1568
P01,2021-03-11 9:23:13 AM,15.05072,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5379,10.78157,24.56683,-7.804039,6.22,-15.4706,350.2389,-1.106598,74.96254,2.529329,84.72363,-3.635926,84.72363,3.635926,0.4433646,236.1967,0.04001088,236.1567,236.1567
P01,2021-03-11 9:23:13 AM,15.06448,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5377,10.78125,24.56681,-7.804039,6.22,-15.4706,350.2389,-1.106522,74.85828,2.395212,84.61938,-3.501734,84.61938,3.501734,0.4574312,236.1965,0.04001205,236.1565,236.1565
P01,2021-03-11 9:23:13 AM,15.07855,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5375,10.78105,24.56678,-7.804039,6.22,-15.4706,350.2389,-1.106475,74.74917,2.325442,84.51028,-3.431916,84.51028,3.431916,0.4715094,236.1963,0.05259812,236.1437,236.1437
P01,2021-03-11 9:23:13 AM,15.09262,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5373,10.78086,24.56676,-7.804039,6.22,-15.4706,350.2389,-1.106429,74.61744,2.267816,84.37854,-3.374244,84.37854,3.374244,0.4927632,236.196,0.0799269,236.1161,236.1161
P01,2021-03-11 9:23:13 AM,15.11388,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5376,10.78064,24.56703,-7.804039,6.22,-15.4706,350.2388,-1.106374,74.79305,2.142517,84.5542,-3.248891,84.5542,3.248891,0.4992467,236.1964,0.1521199,236.0443,236.0443
P01,2021-03-11 9:23:13 AM,15.12036,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5375,10.78032,24.56705,-7.804039,6.22,-15.4706,350.2388,-1.106297,74.72956,2.011973,84.49072,-3.118269,84.49072,3.118269,0.5145968,236.1963,0.2819749,235.9143,235.9143
P01,2021-03-11 9:23:13 AM,15.13571,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5374,10.78004,24.56708,-7.804039,6.22,-15.4706,350.2388,-1.10623,74.68681,1.88669,84.44797,-2.99292,84.44797,2.99292,0.5285276,236.1962,0.4565391,235.7396,235.7396
P01,2021-03-11 9:23:13 AM,15.14964,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5374,10.77974,24.56718,-7.804039,6.22,-15.4706,350.2388,-1.106157,74.67418,1.746948,84.43536,-2.853105,84.43536,2.853105,0.5422479,236.1962,0.6581982,235.5379,235.5379
P01,2021-03-11 9:23:13 AM,15.16336,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5375,10.77946,24.56737,-7.804039,6.22,-15.4706,350.2387,-1.106088,74.73077,1.595402,84.49203,-2.70149,84.49203,2.70149,0.5557929,236.1963,0.8769764,235.3193,235.3193
P01,2021-03-11 9:23:13 AM,15.17691,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5376,10.77928,24.56753,-7.804039,6.22,-15.4706,350.2387,-1.106045,74.81253,1.509715,84.57382,-2.61576,84.57382,2.61576,0.5694585,236.1964,1.106674,235.0897,235.0897
P01,2021-03-11 9:23:13 AM,15.19057,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5376,10.77914,24.5676,-7.804039,6.22,-15.4706,350.2387,-1.106011,74.81821,1.428759,84.5795,-2.534771,84.5795,2.534771,0.5831164,236.1964,1.343331,234.8531,234.8531
P01,2021-03-11 9:23:13 AM,15.20423,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5375,10.77899,24.56759,-7.804039,6.22,-15.4706,350.2387,-1.105974,74.76818,1.353747,84.52948,-2.459721,84.52948,2.459721,0.596924,236.1963,1.584417,234.6119,234.6119
P01,2021-03-11 9:23:13 AM,15.21804,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5373,10.77894,24.56754,-7.804039,6.22,-15.4706,350.2387,-1.105962,74.68266,1.325444,84.44394,-2.431406,84.44394,2.431406,0.6109083,236.1961,1.828376,234.3678,234.3678
P01,2021-03-11 9:23:13 AM,15.23202,,,Controller,1,A,1,4,1,yes,bench (UnityEngine.AudioClip),-240.5372,10.779,24.56752,-7.804039,6.22,-15.4706,350.2387,-1.105979,74.64014,1.363413,84.40143,-2.469392,84.40143,2.469392,0.6245418,236.196,2.074202,234.1218,234.1218
